Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName
Kevin Janssen,M,SBD,Raw,41.0,40-44,40-49,Masters 40-44,120.8,125,200.0,220.0,225.0,,225.0,150.0,160.0,165.0,,165.0,260.0,270.0,-275.0,,270.0,660.0,2,378.21,378.87,363.06,76.5,,Netherlands,,DPL,IPL,2021-08-29,Netherlands,,Geleen,Dutch Open
Kevin Janssen,M,SBD,Raw,41.0,40-44,40-49,Open,120.8,125,200.0,220.0,225.0,,225.0,150.0,160.0,165.0,,165.0,260.0,270.0,-275.0,,270.0,660.0,4,378.21,378.87,363.06,76.5,,Netherlands,,DPL,IPL,2021-08-29,Netherlands,,Geleen,Dutch Open
Najef Zondringa,M,SBD,Raw,32.5,24-34,24-39,Open,65.5,66,140.0,150.0,160.0,,160.0,100.0,110.0,112.5,,112.5,190.0,205.0,207.5,,207.5,480.0,4,378.23,379.27,368.67,75.13,Yes,Netherlands,,KNKF-SP,IPF,2022-03-26,Netherlands,,Tilburg,Open NK Powerliften Classic
Jelle van Dorth,M,SBD,Raw,24.5,24-34,24-39,Open,104.1,105,230.0,237.5,-242.5,,237.5,150.0,157.5,-160.0,,157.5,230.0,-242.5,-245.0,,230.0,625.0,14,378.25,374.61,357.7,77.48,Yes,Netherlands,,KNKF-SP,IPF,2019-03-23,Netherlands,NB,Tilburg,Dutch Classic Powerlifting Championships
Wesley Ortega,M,SBD,Raw,28.5,24-34,24-39,Open,131.25,120+,-210.0,217.5,225.0,,225.0,140.0,147.5,155.0,,155.0,285.0,297.5,-302.5,,297.5,677.5,2,378.27,382.54,365.22,75.81,Yes,Netherlands,,KNKF-SP,IPF,2016-06-11,Netherlands,NB,Tilburg,DRC Cup
Thomas Bosman,M,SBD,Raw,22.5,20-23,19-23,Open,118.0,120,225.0,235.0,240.0,,240.0,142.5,-147.5,-147.5,,142.5,260.0,272.5,-277.5,,272.5,655.0,2,378.31,378.09,362.21,76.7,Yes,Netherlands,,KNKF-SP,IPF,2019-10-05,Netherlands,ZH,Delft,Dutch Student Championships
Dominique van Deursen,F,SBD,Raw,22.5,20-23,19-23,Open,80.39,84,142.5,147.5,152.5,,152.5,70.0,75.0,-77.5,,75.0,165.0,175.0,-180.0,,175.0,402.5,3,378.34,367.3,322.03,77.39,Yes,Netherlands,,KNKF-SP,IPF,2018-04-22,Netherlands,NB,Tilburg,Dutch Classic Powerlifting Championships
Jilles Kok,M,SBD,Raw,19.5,20-23,19-23,Open,81.58,83,-200.0,-200.0,200.0,,200.0,110.0,115.0,-125.0,,115.0,215.0,227.5,240.0,,240.0,555.0,9,378.37,374.33,360.36,77.5,Yes,Netherlands,,KNKF-SP,IPF,2022-06-25,Netherlands,,Groningen,Northside Barbell Summer Cup
Thomas Veldhuisen,M,SBD,Raw,20.5,20-23,19-23,Open,80.3,83,172.5,182.5,187.5,,187.5,107.5,115.0,120.0,,120.0,230.0,242.5,-245.0,,242.5,550.0,12,378.42,374.6,360.88,77.42,Yes,Netherlands,,KNKF-SP,IPF,2022-10-15,Netherlands,,Delft,NSK Powerliften Classic
Stefan Meinen,M,SBD,Raw,17.5,18-19,14-18,Open,80.9,83,-185.0,190.0,195.0,,195.0,115.0,120.0,125.0,,125.0,205.0,217.5,232.5,,232.5,552.5,2,378.49,374.56,360.72,77.48,Yes,Netherlands,,KNKF-SP,IPF,2022-07-16,Netherlands,,Wezep,PWG Summer Cup
Bo Arends,F,SBD,Raw,21.5,20-23,19-23,Open,67.78,69,125.0,132.5,135.0,,135.0,70.0,72.5,-75.0,,72.5,160.0,-167.5,-167.5,,160.0,367.5,5,378.5,373.97,329.87,76.91,Yes,Netherlands,,KNKF-SP,IPF,2021-05-22,Netherlands,,Maasland,Open NK Powerliften Classic Dames
Najef Zondringa,M,SBD,Raw,32.5,24-34,24-39,Open,64.98,66,150.0,160.0,-170.0,,160.0,105.0,-115.0,-115.0,,105.0,205.0,210.0,212.5,,212.5,477.5,3,378.51,379.81,369.34,75.05,Yes,Netherlands,,KNKF-SP,IPF,2022-10-29,Netherlands,,Nijmegen,SBD Cup
Tristan Nguyen #1,M,SBD,Raw,21.5,20-23,19-23,Open,57.46,59,150.0,160.0,170.0,,170.0,85.0,92.5,-100.0,,92.5,150.0,160.0,170.0,,170.0,432.5,2,378.55,384.06,375.97,72.59,Yes,Netherlands,,KNKF-SP,IPF,2022-10-29,Netherlands,,Nijmegen,SBD Cup
William van der Struis,M,SBD,Raw,33.5,24-34,24-39,Open,82.15,83,-180.0,185.0,190.0,,190.0,137.5,142.5,147.5,,147.5,200.0,202.5,220.0,,220.0,557.5,7,378.56,374.43,360.34,77.58,Yes,Netherlands,,KNKF-SP,IPF,2017-06-10,Netherlands,NB,Tilburg,DRC Cup
Yvette van Benten,F,SBD,Raw,25.5,24-34,24-39,Open,74.75,76,147.5,155.5,-160.5,,155.5,65.0,70.0,-72.5,,70.0,145.0,155.0,162.5,,162.5,388.0,2,378.57,369.62,325.18,77.11,Yes,Netherlands,,KNKF-SP,IPF,2022-10-15,Netherlands,,Delft,NSK Powerliften Classic
Jelle van Dorth,M,SBD,Raw,23.5,24-34,24-39,Open,103.89,105,230.0,237.5,-245.0,,237.5,152.5,-157.5,-157.5,,152.5,220.0,235.0,-250.0,,235.0,625.0,9,378.57,374.89,357.96,77.55,Yes,Netherlands,,KNKF-SP,IPF,2018-12-08,Netherlands,NB,Veldhoven,DRC Cup
Mats Ter Horst,M,SBD,Raw,19.5,20-23,19-23,Open,90.6,93,205.0,215.0,-220.0,,215.0,102.5,107.5,-112.5,,107.5,250.0,265.0,-275.0,,265.0,587.5,19,378.62,373.8,358.15,77.85,Yes,Netherlands,,KNKF-SP,IPF,2022-10-15,Netherlands,,Delft,NSK Powerliften Classic
Barbara Claassen,F,SBD,Raw,47.5,45-49,40-49,Masters 1,102.2,84+,172.5,180.0,185.0,,185.0,77.5,82.5,-87.5,,82.5,170.0,180.0,-187.5,,180.0,447.5,4,378.7,370.3,317.23,79.35,Yes,Netherlands,,IPF,IPF,2019-06-04,Sweden,,Helsingborg,World Classic Powerlifting Championships
Gwen Mostert,F,SBD,Raw,30.5,24-34,24-39,Open,68.51,72,120.0,127.5,-130.0,,127.5,75.0,-77.5,-77.5,,75.0,160.0,167.5,-182.5,,167.5,370.0,1,378.74,373.66,329.53,76.96,Yes,Netherlands,,EPF,IPF,2016-09-08,Italy,,Borgaro Torinese,Western European Powerlifting Championships
