Country,count,squat_mean,bench_mean,deadlift_mean,squat_max,bench_max,deadlift_max,iso3
Taiwan,87,187.4655172413793,118.51724137931035,207.49425287356323,340.0,240.0,312.5,TWN
Chile,84,186.74404761904762,122.9047619047619,214.98809523809524,265.0,190.0,290.0,CHL
Romania,80,174.7625,120.06875,192.3625,300.0,227.5,345.5,ROU
Bulgaria,77,233.4090909090909,160.92207792207793,258.40909090909093,342.5,232.5,362.5,BGR
Belize,68,150.18058823529412,92.73764705882353,178.10279411764708,328.85,226.8,335.66,BLZ
Isle of Man,66,123.56060606060606,71.70454545454545,154.62878787878788,250.0,152.5,275.0,IMN
South Korea,65,163.23076923076923,100.3076923076923,183.5,360.0,217.5,370.0,KOR
Malta,65,174.2,112.9,213.36153846153846,290.0,200.0,330.0,MLT
Uzbekistan,64,164.921875,109.6875,191.5625,292.5,192.5,332.5,UZB
Sri Lanka,59,205.38135593220338,112.11864406779661,220.77118644067798,290.0,165.0,317.5,LKA
Papua New Guinea,57,178.359649122807,104.43859649122807,190.31578947368422,350.0,192.5,327.5,PNG
New Caledonia,55,201.13636363636363,138.3181818181818,232.95454545454547,320.0,215.0,315.0,NCL
Luxembourg,52,167.32692307692307,107.98076923076923,193.22115384615384,312.5,210.0,325.0,LUX
Samoa,51,246.19607843137254,136.33333333333334,246.9313725490196,390.0,232.5,340.5,WSM
Egypt,50,206.3195918367347,140.6052,236.69279999999998,295.0,197.5,310.5,EGY
Trinidad and Tobago,50,200.56,124.87,239.39,330.0,213.5,353.0,TTO
Georgia,46,205.56869565217391,141.80282608695651,233.7673913043478,390.0,225.0,385.5,GEO
Thailand,45,151.88888888888889,93.66666666666667,180.45555555555555,235.0,150.0,280.0,THA
Lebanon,45,224.66666666666666,142.72222222222223,254.12222222222223,330.0,225.0,360.0,LBN
UAE,43,161.74418604651163,146.03953488372093,189.24418604651163,285.0,192.5,305.0,ARE
Tajikistan,39,193.39743589743588,152.43589743589743,225.64102564102564,305.0,230.0,330.0,TJK
Guyana,38,179.17105263157896,107.4342105263158,206.98684210526315,315.0,200.0,330.0,GUY
Brunei,37,168.52702702702703,102.6891891891892,206.16216216216216,252.5,152.5,290.0,BRN
Niue,36,156.31944444444446,91.08333333333333,172.84722222222223,330.0,185.0,290.0,NIU
Kyrgyzstan,36,147.85777777777778,113.18416666666667,182.5538888888889,210.0,160.0,262.5,KGZ
Armenia,33,188.33333333333334,142.22727272727272,213.4090909090909,250.0,200.0,270.0,ARM
Iraq,32,199.1875,126.328125,219.6875,290.0,210.0,315.0,IRQ
Libya,30,224.16666666666666,142.01666666666668,254.75,325.0,210.0,350.0,LBY
Tuvalu,29,215.68965517241378,121.37931034482759,209.48275862068965,351.0,190.0,310.0,TUV
Vietnam,24,146.25,97.8125,185.625,222.5,157.5,285.0,VNM
Morocco,22,182.27272727272728,127.38636363636364,223.75,255.0,190.0,305.0,MAR
Turkmenistan,19,166.44736842105263,119.07894736842105,186.76315789473685,255.0,207.5,260.0,TKM
Fiji,18,151.11111111111111,94.30555555555556,174.02777777777777,240.0,160.0,260.0,FJI
Kiribati,15,172.5,110.73333333333333,185.2,282.5,180.0,262.5,KIR
Cyprus,14,200.39285714285714,137.32142857142858,210.35714285714286,250.0,155.0,250.0,CYP
Ivory Coast,14,220.35714285714286,146.25,250.71428571428572,325.0,205.0,335.0,CIV
Tahiti,13,156.15384615384616,116.34615384615384,185.3846153846154,230.0,185.0,250.0,PYF
Dominican Republic,12,193.33916666666664,122.01666666666667,211.5525,270.0,192.5,285.0,DOM
Zimbabwe,11,147.04545454545453,88.86363636363636,181.13636363636363,220.0,145.0,260.0,ZWE
Bolivia,10,164.5,103.05,194.25,200.0,153.0,240.0,BOL
Tunisia,9,171.72222222222223,100.83333333333333,209.66666666666666,290.5,195.0,313.0,TUN
Kuwait,9,216.11111111111111,145.9375,248.125,242.5,177.5,270.0,KWT
Pakistan,8,144.375,89.0625,165.9375,225.0,160.0,240.0,PAK
Uganda,8,173.8075,112.99875,189.425,225.0,156.49,260.0,UGA
Tonga,8,181.25,88.5625,205.0,355.0,191.0,370.0,TON
Jamaica,7,245.88857142857142,170.05428571428573,294.3385714285714,265.0,197.5,325.0,JAM
Indonesia,7,171.07142857142858,118.57142857142857,203.64285714285714,235.0,150.0,310.5,IDN
Solomon Islands,6,106.25,63.166666666666664,138.33333333333334,132.5,85.0,180.0,SLB
Afghanistan,5,218.5,155.6,217.0,360.0,240.0,310.0,AFG
Nigeria,5,192.0,117.0,243.0,207.5,147.5,295.0,NGA
Namibia,5,159.5,113.5,200.0,230.0,182.5,265.0,NAM
Haiti,4,118.75,60.625,133.75,140.0,70.0,140.0,HTI
British Virgin Islands,4,187.5,157.5,226.875,230.0,190.0,237.5,VGB
El Salvador,4,105.0,56.25,126.875,140.0,65.0,147.5,SLV
Panama,4,240.0,145.0,247.75,245.0,155.0,261.0,PAN
North Macedonia,3,163.33333333333334,116.66666666666667,205.0,190.0,145.0,240.0,MKD
Jordan,3,169.16666666666666,120.83333333333333,234.16666666666666,182.5,130.0,242.5,JOR
Aruba,3,258.3333333333333,167.5,290.8333333333333,285.0,172.5,310.0,ABW
Cameroon,3,193.33333333333334,108.33333333333333,213.33333333333334,240.0,160.0,260.0,CMR
Bahamas,3,147.5,75.0,190.0,185.0,90.0,230.0,BHS
Cambodia,2,221.25,131.25,241.25,250.0,165.0,280.0,KHM
Palestine,2,132.5,107.5,185.0,182.5,155.0,250.0,PSE
Syria,2,155.0,126.25,185.0,160.0,130.0,200.0,SYR
Nicaragua,2,142.5,77.5,183.75,175.0,110.0,230.0,NIC
Venezuela,2,155.0,126.25,216.25,202.5,137.5,232.5,VEN
Grenada,2,267.5,142.5,280.0,280.0,145.0,290.0,GRD
Oman,2,147.5,121.25,201.25,147.5,122.5,202.5,OMN
Wallis and Futuna,1,120.0,140.0,220.0,120.0,140.0,220.0,WLF
Bangladesh,1,170.0,87.5,192.5,170.0,87.5,192.5,BGD
Guinea,1,190.0,175.0,210.0,190.0,175.0,210.0,GIN
Botswana,1,145.0,45.0,150.0,145.0,45.0,150.0,BWA
Niger,1,200.0,125.0,220.0,200.0,125.0,220.0,NER
Cabo Verde,1,220.0,175.0,300.0,220.0,175.0,300.0,CPV
Cayman Islands,1,160.0,145.0,175.0,160.0,145.0,175.0,CYM
Cook Islands,1,190.0,65.0,182.5,190.0,65.0,182.5,COK
Eswatini,1,190.0,145.0,271.0,190.0,145.0,271.0,SWZ
The Gambia,1,175.0,135.0,225.0,175.0,135.0,225.0,GMB
